chinese
悲傷的 可悲 可嘆
悲傷
絕望
絕望的
絕望
沮喪的
沮喪
專情的 虔誠的
一往情深地
奉獻
失望的
失望地
失望
反對
尷尬的
不安
不安的
不安地
不安的
不滿的
不滿的
沮喪的
沮喪
鄙視的
鄙視
失寵
受辱的
失望的 幻滅的
失望地
不滿的 嘔氣
不滿
惡心的
惡心
幻滅的 心寒 心涼了一截 
討厭 可憎 不喜歡
沮喪
沮喪的
不愉快的
不安的
不滿的
厭惡
煩心的 不勝 不堪 憂 哀
苦惱
苦惱
悲傷的 黯然銷魂 愁緒
悲痛 黯然銷魂 愁緒
悲痛的 黯然銷魂 愁緒
絕望的
溺愛
溺愛的
沮喪的
消沈的
喪氣 落魄
恐懼的
憤怒
極度渴求
急切 迫不及待
安逸
安逸
安逸
狂喜的
狂喜地
狂喜 喜不自禁
興高采烈地
興高采烈
激動的
興高采烈的
興高采烈
尷尬的
尷尬
真情
同情 共情
同情的
同情地
迷戀的
陶醉的
陶醉享受
享受
快活的
憤怒的 盛怒
陶醉的
著迷的 癡迷
熱情的
熱情的
熱情
著迷的
羨慕的
羨慕
疏遠
狂喜的
狂喜
狂喜地
興奮的 可讚 讚賞
興奮
惱怒的
惱怒地
惱怒
激動地
激動
憎恨
興奮
興奮
期盼的
期望
期望
精神煥發 生氣蓬勃
熱情
興高采烈的 大快人心
興高采烈 大快人心
恐懼
害怕的
無懼的
感受 心緒 情懷 含情 心情
熱誠的
鍾愛的
較喜愛的
最喜愛的
鍾愛
原諒
寬容的
孤單的 寂寞
易怒的
發狂的
瘋狂的
熱切期盼
苦惱的
受驚嚇的 心驚膽跳
受挫折的 惱火
挫折
滿足的
發怒的 嘔氣
狂怒的
盛怒的
無意義的 空 徒然 無奈 無可奈何
無意義
快活
惱怒的
愉快的
歡快
高興的
高興的
沮喪的
較沮喪
最沮喪
失落 鬱悶
感激的
感激
滿意的
嚴肅的
嚴肅地
悲傷
心碎 斷腸
受悲傷打擊
哀慟 哀傷 哀悼
悲傷的
有罪 罪過
較有罪
最有罪
感到有罪
罪惡感
罪惡地
懷恨
熱情
渴望 難以忘懷
不愉快 心裡有疙瘩
開心
較開心
最開心
被催逼
悲慘的
討厭 恨 憎
討厭
討厭的
討厭的
難忘的 魂縈夢繞的
痛心疾首的 傷心的 受情的 折磨
痛心疾首的 傷心的 受情的 折磨
心痛
心碎
令人振奮的
悲痛的
心痛的 心酸的
心情沈重的
沈痛的
想家的 懷鄉之情
無望的
失去希望的
可怕的
受驚嚇的
受驚嚇的
傲慢的
怒氣 傲慢
易怒的
較易怒的
最易怒的
卑微的
傷心
使傷心
熱情的
受刺激的
大怒的
悲痛欲絕
感激的
憤怒的
沈迷的
沈迷
大怒的
受激勵的 受鼓舞 受啟發
有興趣的
感興趣的
親密關係
親密的
憤怒的
易怒的
被激怒的 被惹怒的 被惹惱的
被激怒的 被惹怒的 生氣的
吃醋 嫉妒
嫉妒
歡樂的
快樂的
快樂
喜悅
喜悅的
喜悅的
歡騰的
歡欣鼓舞
渴望 著迷的 興趣濃厚
感到失望
無精打采的
倦怠 慵懶 懨悶
憔悴
受苦 失去活力
覺得失望
愉快起來
無憂無慮的 輕鬆的
喜歡
喜歡的
大怒的
孤單的 寂寞的
較孤單
最孤單
孤單
渴求
渴求
期待 企望
失落
愛
愛
苦戀的
情慾 肉慾
情慾 肉慾
情慾 肉慾
生氣
抑鬱的 惆悵 黯然神傷
放鬆的
較放鬆
最放鬆
生氣的 嗔
高興的
較高興
最高興
憐憫
憐憫的
歡笑
歡樂的
悲慘的 難過 難受 苦
悲慘
想念
想念
想念
撫慰的
撫慰
喜怒無常的
較悶悶不樂
最悶悶不樂
悶悶不樂
悶悶不樂的
陰鬱的
消極的
令人羞愧的
哀傷 哀悼
哀傷的
受感動
需要
緊張
惹怒的
思鄉
懷舊的 思鄉的
恥辱
憤恨
憤恨
欣喜若狂的
難堪 不勝 難任
過度緊張的
痛苦的
平靜的
悲痛的 苦悶的
痛苦
痛苦的
受苦
恐慌的
恐慌的
驚恐的
偏袒 偏愛
熱情
熱情的
平靜的
嗔 怏怏不樂
易怒的
後悔的
嚇傻的 嚇呆的
憔悴的 為情折磨 銷魂
虔誠
惱怒的
可憐
高興的
喜悅
喜悅的
偏愛
驕傲
驕傲的
較驕傲
最驕傲
不安的
激怒的
狂怒
怨恨的
怨恨
怌忿的 惡毒 深仇大恨
狂喜
陶醉的 為之銷魂
和好
敬重
後悔
後悔的
欣喜
解脫
解脫的
享受 珍惜
自責
自責的
自責
自責
悔過的
氣憤的 怨嗔 埋怨
氣憤的
氣憤
狂歡
想報復的
惱怒的
惱怒的
後悔的
惱怒的
難過 悲哀 可哀 可悲
較難過
最難過
難過的 悲痛的 痛心的
滿足
滿足
享受 品嘗 品味
驚嚇
怒氣沖天
不自在
自厭
自恨
自憐的
自滿
自滿
自滿
沈著的
沈著的
沈著
失落感
多愁善感的
多愁善感
安詳的
安詳
受驚嚇的 動搖的
羞恥
羞恥的
羞恥的
受驚嚇的 驚嚇中
受驚嚇的
內心不舒服 內心不適
受折磨的
沮喪的 黯然傷神
緩和的 安慰的
生氣的 不悅
悲傷
悲傷的
同情的
較同情
最同情
深情的
入迷的 癡迷的
壞脾氣的
惡意的
為之不安
受苦的
受苦 受難
受折磨 受苦
生悶氣
悶悶不樂的
使悶悶不樂的 使生悶氣的
悶悶不樂的
驚喜
驚喜的
焦慮
同情的
同情地
同情
著迷的
受驚嚇的
恐懼
暴躁的
感激的
非常興奮的
使惱怒
很高興 樂不可支 心花怒放
挑逗的
挑逗
團結 親密
受折磨的
艱難的
被折磨的 受到痛苦的
打動
受感動的
平靜的
平靜
狂喜
出神 發怔 發癡 發呆
驚呆地
珍惜
不安
信任
信任地
不開心
較不開心
最不開心
緊張不安的
崇敬的
心存報復的
惱怒的
立誓
想要
想要
需要
熱心的
厭倦的
衝動
願意的
願望
嚮往的
痛苦
痛苦的
傷痛欲絕的
報復
神奇
驚訝不已的
憂愁 擔心
令人擔心的
感到擔心的
崇拜的
盛怒
盛怒的
悲慘的 可憐的
渴望的
狂熱的
熱情
熱情的
被接受的
主動的
腎上腺素
好驚險 刺激的
具侵略性的 有攻擊性的
無目的的
冷漠的
無私的
親切的
友好的
有野心的
野心
矛盾的
矛盾
好笑
敵意
敵對的 對立的
敵對 對立
強烈反感
自大的 高傲
自大 高傲
不關心 無興趣
不關心 無興趣
賠禮 道歉
自信
好辯的
抱負
有抱負的
注意
引人勝處
貪婪
反感
意識到的
做壞了
感到困惑的
困惑
羞怯的
蒙昧
蒙昧
使糊塗的
糊塗
吝惜
勉強地
信念 信仰
相信
好勝的
好勝
瘋了 失去理智
使迷惑的
犯賤的 惡毒的
責備
該罵的
漫不經心
漫不經心地
自誇的
活潑的
勇敢的
無聊的
無聊
被干擾的 被麻煩的 被煩到的
壞脾氣的
善意 仁慈
善意 仁慈
自以為的 魯莽
勇敢
不知羞恥的
多思 沉思
兄弟間地 如手足
承重擔的 壓力重
負擔沉重的 壓力重
職業倦怠 職業枯竭
冷酷無情的
快受不了
受不了
壞脾氣的 出口傷人的
仔細的
無憂無慮的
粗心的
關愛的
謹慎的
謹慎
確信
受挑戰的
有魅力的
樂善好施的
易怒的
傲慢的
膽小
冷血的
承諾的
滑稽的
好鬥的
競爭的
順從的
自滿的
鎮靜的
鎮靜
自負 狂妄
自負的 狂妄的
更瘋狂的
最瘋狂的
瘋狂的
殘忍的
殘忍 殘忍的行為
大膽的
可依賴的
依靠的 仰賴的
灰心的
自信的
自信
自信
自貶
自貶
自貶
信心
有信心的
困惑的
良心
受良心譴責的
勤勉認真的
周到的
好沈思的
可鄙的
確信的
確信
合作的
保持冷靜
承受 應付
勇氣
有勇氣的
膽怯
膽小地
畏縮的
扭捏的
壞脾氣的
膽小的
挑惕的
批評
壞脾氣的
狡猾的
好奇的
好奇
憤世忌俗的
憤世忌俗
有戒心的
藐視的
藐視
欣喜若狂的 昏迷 神智不清
意志消沈的
否認
否認
抑鬱症
抑鬱症
冷漠 不執著 解脫 擺脫 看淡了
決心的
決心
難相處的
不舒服
漫不經心的
不信任
消沈 無生氣
控制的
控制欲
令人生疑的
感到低落
枯燥乏味的
猶疑的
無趣的
驚呆的 無法理解 出人意外
誠摯的
容易 不費力
厚顏無恥
自我中心的
自我中心的
自我中心
憤世忌俗
受鼓勵的
鼓勵
有膽量的
精力充沛的
娛樂
娛樂的
鎮靜 曠達
善於表達
信心
有信心的
著迷的
入迷
如父般的
受夠了
覺得失敗 像個白癡
無法理解 不合情理
炫耀的
炫耀
慌亂的
專注的
不詳的
傻的
輕佻的
失控 瘋了
堅韌
友善的
較友善
最友善
輕浮的
玩樂的
皺眉
好玩
大方的
慷慨
幸災樂禍
隨和的 脾氣好
感覺很棒
貪心
貪心的
怨天尤人 善怒 易怒
較怨天尤人 善怒 易怒
最怨天尤人 善怒 易怒
勉強的
壞脾氣的
戒備的
謹慎的 有戒心
不確定的
無情的
英勇
英勇
猶豫的
猶豫
誠實的
希望
抱希望的
有敵意的
敵意
謙遜的
謙遜
歇斯底里的
歇斯底里
崇拜的 盲目崇拜的
崇拜 盲目崇拜的
壞脾氣的 脾氣差的 敵意的
忐忑
冷漠的
沒耐性的
沒耐性
魯莽的
衝動
衝動的
留下印象的
印象深刻的
傾向
考慮不週的 不為他人著想的
懷疑的 不輕信的
猶豫不決的
腦 腦內
漠不關心的
漠不關心
憤恨不平的
憤恨不平
壓抑的 拘束的 拘謹的
好奇的
瘋狂的
沒安全感的
沒安全感
漠不關心
漠不關心
有靈感的
好奇的 引起興趣
反省的
易怒 急躁
急躁
危險
嘲笑
開朗
較開朗
最開朗
親切的 和藹的
較親切的 較和藹的
最親切的 最和藹的
親切 和藹
好心地 請
笨蛋 白痴
懶惰 懶
懷疑的 警戒的
無精打采的
崇高的
困惑的
迷失
忠心的
忠心
發瘋
寬宏大量的 坦蕩的
惡意
惡意的 故意的 故意害人的
狂野的 瘋狂的
尖酸刻薄的 壞的 賤的 過份的
吝嗇的 苛薄的
深思的
溫和的 謙卑的
順從
淘氣的 惡作劇的
誤信
思路不清的 困惑的 
謙遜的 羞怯的 
情緒 鬧情緒 情緒不好
母性的
上進的
困惑的 不解的 匪夷所思的
困惑 不可思議
疏忽的 怠慢的 粗心大意的
神經
神經的 神經質的
冷淡的 不關心的
冷淡
著迷 成癖
妄想
妄想 著魔 著迷
頑固的 倔將的
頑固 倔將
頑固的
樂觀的
樂觀
故意刁難的 乖張
應該
過度自滿的
過度自信
過寵的
耐心
有耐心的
沉思的
提神
困惑的 不知所措的
困惑
悲觀的 厭世的
悲觀 悲觀主義
小氣的
易生氣的
暴躁 易怒 性急
愛玩的 遊戲性的
謹慎 警惕
有偏見的
偏見
膽怯的
有意圖的 有目的的
顫慄的 害怕得發抖的
愛吵架的 好爭論的
偏激的
吵鬧的 喧嘩的
魯莽的 急躁的
慌張的 
放心的 安心的 寬心的 心裡踏實的
放心 安心 寬心 踏實感
叛逆的 反抗的
魯莽的  不計後果的
重修舊好 妥協
娛樂的 取樂的
放鬆的 輕鬆的
宗教的 信者的
不情願的 勉強的
不情願
反感
休息 依託
休息的 依託的
譴責的 責備的
矜持的
放棄的 無奈的 無可奈何的
順從 屈服 無奈的 無可奈何的
堅決的 果斷的
敬意
尊敬的 
有責任的 可靠的 可信賴的
報復性的
報復的
尊敬 敬重
敬重的 尊敬的
再生的 復活的
嚴厲的 死板 不變動 不靈活
嚴格 嚴厲 死板 不變動 不靈活
活潑的 嬉戲的 嬉鬧的
精疲力盡 智窮力竭
明智的 理智的
有望的 滿懷希望的
明智 頭腦清楚
諷刺的
諷刺
反感的 震驚的 令人怍舌的
輕蔑
輕蔑的
自我中心的
自我 自我評價 自尊心
自我 自我評價 自尊心
自以為是 自大
自私的 自利的
無私的
自以為是的
敏感的
敏感
懦弱的
精明的 精明能幹的 會打算盤的
害羞的
傻的
誠摯的
誠摯
多疑的
多疑
自命不凡的
看不起
熱心的 
善於交際的
社交性
被鼓舞的
打起精神
活潑的 有精神的 生氣勃勃的
精神上的 心靈上的
驚起
穩定的
穩定
堅定的 堅決的 下定決心的
被激勵的 被鼓舞的 
堅強
有壓力
有壓力的
固執的
大出意外 不知所措
驚呆的
恍惚 茫然
笨的 愚蠢的
笨 愚蠢
昇華的
順從的 謙恭的
想自殺的 有自殺傾向的
傲慢的 自大的
高人一等的 自命不凡的 自視甚高的 優越的
優越感
無疑的 確信的 有信心的 有把握的
有把握
覺得可疑 感到懷疑
可疑的
驚慌失措 大吃一驚
發脾氣
脾氣
暴怒 發脾氣
又臭又長的 冗長乏味的
好脾氣的
易怒的 脾氣暴躁的
易怒的 脾氣暴躁的
易怒的 脾氣暴躁的
發脾氣 發火
誘惑
沈思的 思考的  考慮周到 有思想的
快感 
膽小的 羞怯的
膽小 羞怯
膽小的 膽怯的
膩 厭煩的 厭倦的
寬容的 
寬容
左右為難 難抉擇的
情緒敏感的
情緒較敏感的
情緒最敏感的
發抖的
發抖的 膽小的
勝利的 得意的 得意洋洋的
有麻煩的
受气 憤恨不平
不確定的
不確定
内心不舒服
内心不適
漫不經心 不關心
無畏的 勇敢的
不自在的 心神不寧的
較不自在的 較心神不寧的
最不自在的 最心神不寧的
不合作的 不配合的
理解
冷漠的 無感的
有敵意的 好敵意的 不友善的
氣餒的
不守規矩的 蠻橫的
不自在的 心神不寧的
不肯定的 沒有信心的
樂觀的
尊重 看重
虛榮 自負
激烈的
激烈
報復 報仇
精力 活力
精力充沛的 精力旺盛的
懷恨在心的
善良的 有品德的 有品的
不穩定的
反覆無常
當心的 謹慎的
軟弱的
受歡迎的
感到身心健康的
幸福
故意的
意志力
意志力
善意
痛 疼 疼痛
背痛 背部疼痛
呼吸困難 難以呼吸
無法呼吸 不能呼吸
氣喘吁吁的 喘不過氣的 上氣不接下氣的 屏息的 屏氣凝神的
臉紅 
滿臉發燙
有痰
身體舒適的
不寒而慄
抽搐 顫抖
便祕
胸悶
胸悶
頭昏 
暈眩
下垂的
昏昏欲睡的
口乾舌燥
精疲力盡
精疲力盡
昏倒
疲累
發燒的
臉紅的 
虛弱的
喪失功能 無法工作 無法操作
頭暈的
雞皮疙瘩
酒醉的 搖搖晃晃的
頭痛
身體健康的
頭痛
身體健康的
恢復精神的 
休息後感到精力充沛的
靜不下來的 
恢復精神的 
肉慾的
肉慾
感官的享受
顫抖的
顫抖
生病
生病
坐不住
坐不住
無法入眠
睡不著 無法入眠
睡不著
無法入眠
不睡覺 沒有睡覺 不眠不休 
睏的
壯的 強壯的 有力的
痠痛
受刺激
肚子痛
出汗 汗
出汗
出汗的
繃緊 脹
變瘦 變得更瘦了
口渴
口渴的
吐
刺痛
累 疲乏
累 疲乏
不適的 不舒服的
不健康的 不健全的 
嘔吐
虛弱
受傷
神智不清了的 喝掛了的 不省人事的
被攻擊
被攻擊
被打
咬
該死的
燒掉 燒毀
著火
勃然大怒 大發脾氣
屍體
詛咒
屍體
毀滅
崩潰
驅逐
精神崩潰
打
打傷
污辱
踢
殺
失控
失控
殘害 使殘廢
暴行
暴行的 狂暴的
破口大罵
強姦 強暴 搶奪
撕開 扯開
尖叫
大叫
跺腳
撞擊 攻擊
自殺
想傷害 殺
用髒話罵人
刺傷
射 勒 掐死
撕開
奪命 殺掉
跳水 跳樓 跳車
不停的罵
想死
大吼
暴力
白痴
白目
北港香爐
北七
笨蛋
變態
婊子
不爽
不要臉
操
操你妹
操你娘
操你娘老雞掰
吃屎
臭鮑
臭三八
畜生
觸目
呆瓜
飯桶
放屁
廢人
廢物
呷洨
該死
該死的
趕羚羊
幹
幹話
幹拎祖媽
幹你娘
幹你娘老雞掰
狗娘養的
狗屁
狗屎
狗腿
龜兒子
龜孫子
滾蛋
狐狸精
黃酸仔
混蛋
混帳
機車
雞巴
雞掰
雞歪
甲洨
賤
賤貨
賤人
咖小
卡稱
卡撐
靠杯
靠邀
哭爸
哭夭
媽的
馬的
沒懶覺
沒種
母豬
目洨
孬孬
孬種
腦殘
嫩
嫩逼
嫩B
你娘的
你娘牛奶
膨肚短命
屁蛋
屁話
破麻
禽獸
去你的
去死
人渣
賽林婆
三八
三小
騷
騷貨
殺小
傻瓜
神經
神經病
屎蛋
他媽的
他馬的
他奶奶的
台灣公車
聽無人話
頭殼裝屎
脫窗
王八蛋
無腦
下地獄
夏夕夏景
小三
鴨霸
雜種
渣
智障
豬
bitch
GY
死老番顛
胎哥
唬爛
激怒的
焦慮的 焦躁不安的
神智清醒
煩躁的
引起 激發
驚訝的 震驚的
驚愕
清醒的
緊張的
活力 腦力 體力 精力
精力充沛
不安的
心驚膽跳的
受到驚嚇的
神經過敏
緊張不安的
焦躁不安的
緊張
焦躁
恐慌 驚恐
驚慌失措的
精力充沛的
刺激振奮
忐忑的
焦躁不安
焦躁不安
生氣的 心煩意亂的 心浮氣躁的
驚慌的 嚇壞了的
恐慌 恐怖
打擊 衝擊
大吃一驚的 
吃驚的
受到刺激的 情緒被攪動
錯愕的 目瞪口呆的
緊張
緊張
恐懼的
恐怖
受威脅
顫抖
心煩意亂的 擾亂的
緊迫心情 迫切感
非常驚訝
驚訝
驚訝的
無聊的
平靜的
舒服的
想睡的
無趣的
精疲力盡的
疲勞的
安靜的
感到放鬆的
令人放鬆的
休息
睏的
緩慢的
靜止不動
未被激動的
不受打擾的
平靜的
無壓力的
無憂無慮的
無憂的
疲累的
我 敝人 俺 本人 在下
我自己 我本人 我親自
我自己 我本人 我親自
自己 各自 自得 自省 自覺 自個兒
它自己 它本身
他自己 他本人 他本身 他親自
她自己 她本人 她本身 她親自
你自己 妳本人 你本身 你親自
我倆
我們的 咱的
內心的 心裡的
內心上 心裡面
互相 彼此 相看 相望 相悅 相伴
互相 彼此 雙方
互相 彼此
自己的 各自的
一起 一同
一起 團圓
他們 她們
他們的 她們的
他們 她們
每個人 所有人 大家 人人 诸位
人
有人 某人 某個人
人們
被逼 被強迫
必須 一定要 不得不
應該 應 該
應該 應 該
必須 絕對要
被遺棄的
惡劣的
受虐的
虐待
施虐的
有虐待傾向的 虐待性的
可接受的
接受的
成就
受侮辱的 被冒犯的
惡化的 惱人的
侵略 攻擊
攪動情緒的 令人情緒激動的
愉快的
 可憂的 令人擔憂的 驚覺危險的
疏離的
迷人的
獨自一人的 單獨的
煩人的 討厭的
被敵視的
令人震驚的
引發情緒的
殘暴的
吸引人的
可怕的 糟糕的
很棒的
尷尬的 笨拙的
被逼到絕境的
糟糕的 差勁的
令人困惑的
被打的 挨打的
被打敗的 筋疲力竭的
痛打
漂亮的 美好的
迷人的
被迷惑的
背叛
被背叛的
受到祝福的
嗜血的
又哭又鬧的
咆哮的
無聊的
野蠻
野蠻的
關心
冷靜的
善變的
迷人的
被干擾的
混亂的
有魅力的
受責罵的 受責罰的
被欺騙的
歡呼
幼稚的
安慰 舒服 
舒服的
受到安慰的 感到舒服的 
有力的
被強迫的
有能力的 有資格的
被指責的 被非難的
指責的 非難的
混淆的
安慰的
品質低的 爛的
卑微的
單戀
危險
危險的
詐騙的 欺騙的
得體的
詐騙 欺騙
騙人的 虛偽的
被大肆殺害的
被打敗的 挫敗的
被貶低的
丟臉的 不名譽的
失去人性的
不被承認的 被否認的
被摧毀的
墮落 淪喪道德
悲慘的 悽慘的
窮困的  被剝奪的
卑鄙的 令人唾棄的
被鄙視的
破壞性的 毀滅性的
可恨的 被厭惡的
毀壞性的 毀滅性的
如惡魔般的
陽奉陰違
令人失望的
如惡魔般的 魔鬼般的
令人不安的 令人心慌的
令人沮喪的 令人洩氣的
恥辱
噁心的
不被喜歡的
令人沮喪的
貶低的 罵得一文不值的
令人不安的 令人擔憂的
令人煩心的
令人煩心的 令人煩亂的
可怕的 恐怖的
滑稽 小丑
口才
有口才的 能言善道的
效率
有效率的
尷尬的
空虛
空虛的
有生命危險的 受危害的
享受的
情慾的
鼓勵的
討人喜歡的
吸引人的 投入的
有趣的 娛樂的
被吸引的
吸引人的
令人興奮的
討罵的 可惡的
令人振奮的 令人狂喜的
邪惡的
超棒的
公平的
失敗
錯誤的
非常好的 奇妙的
迷人的 非常有趣的
命運
嚇人的 讓人害怕的
幸福 快樂
兇猛
兇猛的
歡樂的 過節的
惡魔般的 殘暴的
兇的
好的 美好的
過獎的
恭維的
被原諒的 被饒恕的
幸運的 吉利的
嚇人的 令人懼怕的
令人失望的 令人沮喪的 惱人的
完蛋的
好笑的
溫柔的 高尚的
可怕的 像鬼一樣的
榮耀的 光榮的
榮耀的 光榮的
好的
更好的 比較好的
最好的
優雅 風度
優雅的
可喜可賀的 令人高興的
不滿 抱怨 委屈
冷酷嚴厲的 可怕的
可怕的 血腥的
可怕的 陰森的
無罪的 無辜的
沒被判有罪
不幸的 倒楣的
被討厭的
和諧的 融洽的
和諧 融洽
慘的
麻煩的 困難重重的
被找麻煩的 陷入困難的
常浮現在腦海中的 糾纏的
心理健康的
振奮人心的
美好的
萬惡的 滔天大罪的 十惡不赦的
地獄的
有幫助的 得力的
無助的
醜陋的
令人爆笑的 荒唐的 滑稽的 令人捧腹的
榮幸的
光榮的 榮耀的
情色的 色情的
糟糕的 可怕的 恐怖的
可怕的 恐怖的
可怕的 恐怖的 嚇人的
恐怖 可怕
丟臉的 羞辱的
丟臉 被羞辱
羞辱 丟臉的事
幽默的 風趣的
傷人的
恥辱
羞恥的
被忽略的 被忽視的 被無視的
重要的
被勉強的 被強加的 上當的
無能 無能為力 軟弱
無能的 無能為力的 軟弱的
不足
不足的
無法勝任的 不夠格的
無法勝任 不夠格
不便的
難以置信的 無法相信的
放縱的 縱容的
放縱 縱容
有趣的
無效的 沒有效果的
無效的 沒有效果的
不如人的 自卑的
不如 自卑
有影響力的
氣人的 令人氣憤的
討好的 迎合的
清白的 無辜的 天真無知的
清白 無辜 天真無知
不敏感的 遲鈍的 沒感覺的 麻木的
不敏感 遲鈍 沒感覺 麻木
令人嚮往的 啟發靈感的
無法忍受的
侮辱
嚇人的 令人驚恐的
無法忍受的 難耐的
有趣的
參與
激怒人的 惹怒人的
被隔絕的 被孤立的
失戀的 被拋棄的
沒有歡樂的
公正 正義
被喜歡
好色的 淫蕩的 縱慾的
好色 淫蕩 縱慾
被欺騙 被矇騙
有活力的 活潑的 生動的 熱烈的
劣質的 不好的
可愛的
有愛的 關愛的
幸運的 好運的
恐怖的 陰森的 以死亡為主題的
令人發瘋的 令人抓狂的 讓人暴怒的 氣瘋人的
惡意的 懷恨的
殘缺的 殘破不堪的
了不起的 不凡的 非凡的 神奇的
過份感傷的 感情不自然的 
邪惡的 險惡的
迷人的 有魔咒的
被虐待的
令人丟臉的 令人羞愧的 
蓄意謀殺的 殘忍的 要命的
天真的
骯髒的 邋遢的 下流的
需要的 必需的
貧窮的 貧困的
負面的
被疏忽的
疏忽 怠慢 粗心大意 過失
徒勞無功 沒有用
討厭的東西 討厭的人
討厭的 煩人的
怪的
可惡的 可恨的 招怨的
憎恨之物 怨恨之物
冒犯的 得罪的 違法的
不祥的 不吉利的
被壓迫的 感到沉重的
壓迫的 沉重的
不自在的 格格不入的
外向的
傑出的 突出的
壓垮人的 招架不住的
壓倒性的 難以抗拒的
被寵壞的
癱瘓的 麻痺的
可悲的 悲哀的
愛國的
愛國心 愛國精神
被垂憐的 被資助的 常光顧的
垂憐的 以恩人自居的
和平的
奇特的 特殊的
奇特 特色
被糾纏的 被迫害的
忐忑的
被糾纏的 被問到煩的
糾纏的 用問題煩人的
嚇傻人的 嚇呆人的
虛假的 假冒的 冒牌的
糟糕 劣質
平靜的
有難的
淒然 淒涼
愉快的 舒適的
愉快的 舒適的
可悲的 可痛的 悽慘的
淒惻
自大的
不好的
正面的 正向的 肯定的
強大的 有權力的
無能為力的
被稱讚的 被讚賞的
被壓迫的 被逼的
有特權的 被眷顧的
被保護的 有設防的
保護的 防護的 有設防的
被挑釁的
挑釁的
安靜的
容光 光彩 燦爛
容光煥發的 光彩奪人的 燦爛的
迷人的 美麗的 令人出神的
變年輕的 恢復活力的 回春的
浪漫的
浪漫
讓人放心的  讓人安心的  讓人寬心的
被拒絕的 被否決的
清爽的 恢復精神的
變年輕的 恢復活力的 回春的
可變年輕的 恢復活力的 回春的
讓人放鬆的 讓人舒暢的 讓人舒坦的
可靠的
足智多謀的 機智的 很有辦法的
反感的
反感的
不愉快的 令人反感的 不得人心的
不愉快 反感 不得人心
反感的 厭惡的
受尊重的
沉默寡言的 少話的
討厭想吐的
被埋怨
放鬆的 清靜的
克制的 拘謹的
受限的 被限制的
得到報答的 得到收穫的 如願以償的
荒謬的
鬧事的 放蕩不羈的 狂歡的
坑錢
坑錢
被搶的
腐爛的 倒楣的 糟糕的
粗魯的 無禮的 不客氣的
匆忙的
安全的
安全
令人滿意的 
可怕的 嚇人的
被看不起的 被藐視的 被嘲笑的 被嘲諷的
安全的
誘惑的 勾引的
自我毀滅的
自我毀滅的
嚴重的 嚴肅的 正經的 認真的
性感的
一蹶不振的 受挫的
臭爛的 爛的 
驚人的 震驚的 過份的
噁心的 想吐的 令人厭惡的
被輕視的
爽快的 急躁的 有精神的
鬼鬼祟祟的
勢利的
被冷落的 碰釘子的
慰藉的
莊嚴的 隆重的
莊嚴 隆重
被安撫的
安撫的
被放過的 被饒恕的 幸免於難的
特別的 特殊的
被唾棄的
被暗算 被中傷
令人吃驚的  令人怵目驚心的
被汙名化的 被貼標籤的
刺激的 激勵的
受到刺激的 情緒被攪動
狂暴的 激烈的 
奇怪的
壓力大的 緊張的 緊迫的
出色的 驚人的
不張揚的 被抑制的 屈服的
成功
成功的
覺得受到支持
支持的
粗魯的 不給臉色的
驚訝的 驚喜的 意外的
