,id,idioms,ABnn,AnBn,AnnB,nABn,nAnB,nnAB,PTT_WomenTalk,China_text,Apple_text,PTT_Hate,PTT_Gossiping,PTT_AllTogether,pooled
227,228,萬語千言,0,0,0,0,1,0,0,7,6,0,0,0,13
104,105,三多九如,0,0,0,0,1,0,0,13,0,0,0,0,13
553,554,七子八婿,0,0,0,0,1,0,0,13,0,0,0,0,13
303,304,萬千氣象,0,0,0,0,0,1,0,13,0,0,0,0,13
147,148,準備萬一,1,0,0,0,0,0,1,4,7,0,0,0,12
522,523,八紘一宇,0,0,0,0,1,0,0,12,0,0,0,0,12
903,904,半死半活,0,0,0,0,1,0,0,0,10,1,1,0,12
328,329,人一己百,0,1,0,0,0,0,0,11,0,0,0,0,11
34,35,六十甲子,0,0,0,0,0,1,0,10,0,0,1,0,11
592,593,三災八難,0,0,0,0,1,0,0,11,0,0,0,0,11
511,512,千愁萬恨,0,0,0,0,1,0,0,0,10,0,0,0,10
936,937,七上八落,0,0,0,0,1,0,0,10,0,0,0,0,10
762,763,盈千累萬,0,1,0,0,0,0,0,10,0,0,0,0,10
669,670,七通八達,0,0,0,0,1,0,0,10,0,0,0,0,10
611,612,十不得一,0,0,0,1,0,0,0,10,0,0,0,0,10
195,196,七擒七縱,0,0,0,0,1,0,0,2,4,0,3,0,9
662,663,百紫千紅,0,0,0,0,1,0,0,9,0,0,0,0,9
716,717,五勞七傷,0,0,0,0,1,0,0,8,0,0,1,0,9
118,119,半吞半吐,0,0,0,0,1,0,0,9,0,0,0,0,9
637,638,一口一聲,0,0,0,0,1,0,1,8,0,0,0,0,9
642,643,千回百折,0,0,0,0,1,0,0,0,8,0,0,0,8
561,562,千年萬載,0,0,0,0,1,0,0,8,0,0,0,0,8
565,566,以一當十,0,1,0,0,0,0,0,7,0,0,1,0,8
91,92,一清二白,0,0,0,0,1,0,1,7,0,0,0,0,8
261,262,千端萬緒,0,0,0,0,1,0,0,8,0,0,0,0,8
140,141,萬縷千絲,0,0,0,0,1,0,0,8,0,0,0,0,8
78,79,半人半鬼,0,0,0,0,1,0,0,3,4,0,1,0,8
362,363,一言半語,0,0,0,0,1,0,0,6,2,0,0,0,8
573,574,一刻千金,0,0,0,0,1,0,0,4,4,0,0,0,8
180,181,懲一儆百,0,1,0,0,0,0,0,0,8,0,0,0,8
182,183,三六九等,0,0,1,0,1,1,1,1,0,0,5,0,7
310,311,半生半熟,0,0,0,0,1,0,0,7,0,0,0,0,7
229,230,七老八老,0,0,0,0,1,0,0,5,0,1,0,1,7
473,474,一日三秋,0,0,0,0,1,0,1,5,0,0,1,0,7
871,872,千慮一失,0,0,0,0,1,0,0,7,0,0,0,0,7
234,235,七個八個,0,0,0,0,1,0,2,4,0,0,1,0,7
807,808,兩兩三三,1,0,0,0,0,0,0,0,6,0,1,0,7
813,814,吆五喝六,0,1,0,0,0,0,0,7,0,0,0,0,7
830,831,七長八短,0,0,0,0,1,0,0,7,0,0,0,0,7
98,99,千金一擲,0,0,0,0,1,0,0,6,0,0,0,0,6
441,442,八荒九垓,0,0,0,0,1,0,0,6,0,0,0,0,6
883,884,一時半晌,0,0,0,0,1,0,0,1,4,0,1,0,6
83,84,橫三豎四,0,1,0,0,0,0,0,6,0,0,0,0,6
810,811,一呼四應,0,0,0,0,1,0,0,6,0,0,0,0,6
283,284,千刀萬剁,0,0,0,0,1,0,0,6,0,0,0,0,6
337,338,腰纏十萬,1,0,0,0,0,0,0,6,0,0,0,0,6
4,5,八花九裂,0,0,0,0,1,0,0,5,0,0,0,0,5
454,455,百中無一,0,0,0,1,0,0,0,5,0,0,0,0,5
450,451,千奇萬狀,0,0,0,0,1,0,0,5,0,0,0,0,5
616,617,九儒十丐,0,0,0,0,1,0,0,2,0,0,3,0,5
604,605,百無一失,0,0,0,0,1,0,0,5,0,0,0,0,5
788,789,百媚千嬌,0,0,0,0,1,0,0,1,4,0,0,0,5
47,48,萬苦千辛,0,0,0,0,1,0,0,4,0,0,0,1,5
589,590,十二金人,0,0,0,0,0,1,0,5,0,0,0,0,5
370,371,一步一趨,0,0,0,0,1,0,0,3,0,0,1,0,4
816,817,一樹百穫,0,0,0,0,1,0,0,4,0,0,0,0,4
933,934,十二時辰,0,0,0,0,0,1,0,2,0,0,2,0,4
528,529,一唱三嘆,0,0,0,0,1,0,0,4,0,0,0,0,4
791,792,三千世界,0,0,0,0,0,1,0,1,0,0,3,0,4
347,348,五癆七傷,0,0,0,0,1,0,0,4,0,0,0,0,4
717,718,千乘萬騎,0,0,0,0,1,0,0,0,0,3,0,0,3
127,128,千萬買鄰,0,0,0,0,0,1,0,3,0,0,0,0,3
927,928,千縷萬絲,0,0,0,0,1,0,0,2,0,0,0,1,3
840,841,五洲四海,0,0,0,0,1,0,0,3,0,0,0,0,3
214,215,一死一生,0,0,0,0,1,0,0,3,0,0,0,0,3
564,565,千緒萬端,0,0,0,0,1,0,0,2,0,0,0,0,2
438,439,千方萬計,0,0,0,0,1,0,0,2,0,0,0,0,2
414,415,三千弟子,0,0,0,0,0,1,0,1,0,0,1,0,2
